id,date,code,payment_method,items,total,total_qty,raw_data
519,12/04/2025,INV-20250412-6278,credit card,"Besi Wiremesh M8 full SNI,Bondek 0.75 x 1000 x 6M",2730000,2,"{""Besi Wiremesh M8 full SNI"":""1x6273000"",""Bondek 0.75 x 1000 x 6M"":""1x730000""}"
520,10/04/2025,INV-20250410-2799,transfer,"WF 150 x 75 mm x 12m,Atap spandek 0.35 mm x 6m",12722500,4,"{""WF 150 x 75 mm x 12m"":""2x2722500"",""Atap spandek 0.35 mm x 6m"":""2x893500""}"
521,13/05/2025,INV-20250513-9213,e-wallet,"Besi Beton 12 TJ SNI,Bondek 0.75 x 1000 x 6M",5893500,2,"{""Besi Beton 12 TJ SNI"":""1x893500"",""Bondek 0.75 x 1000 x 6M"":""1x730000""}"
522,20/04/2025,INV-20250420-2966,e-wallet,"CNP Baja Ringan Prima Truss 0.75mm,Besi Beton 12 TJ SNI",7000,3,"{""CNP Baja Ringan Prima Truss 0.75mm"":""2x873000"",""Besi Beton 12 TJ SNI"":""1x893500""}"
523,15/04/2025,INV-20250415-5802,cash,"CNP Baja Ringan Prima Truss 0.65mm,Atap spandek 0.35 mm x 6m",8000,2,"{""CNP Baja Ringan Prima Truss 0.65mm"":""1x73000"",""Atap spandek 0.35 mm x 6m"":""1x893500""}"
524,21/04/2025,INV-20250421-5934,cash,"CNP Baja Ringan Prima Truss 0.65mm,Besi Beton 12 TJ SNI",1893500,3,"{""CNP Baja Ringan Prima Truss 0.65mm"":""2x73000"",""Besi Beton 12 TJ SNI"":""1x893500""}"
525,27/04/2025,INV-20250427-4300,transfer,"Besi Beton 12 IBD SNI,Atap spandek 0.35 mm x 6m",1873000,3,"{""Besi Beton 12 IBD SNI"":""1x93500"",""Atap spandek 0.35 mm x 6m"":""2x893500""}"
526,10/04/2025,INV-20250410-9732,transfer,"Besi Beton 12 TJ SNI,Bondek 0.75 x 1000 x 6M",1093500,4,"{""Besi Beton 12 TJ SNI"":""2x893500"",""Bondek 0.75 x 1000 x 6M"":""2x730000""}"
527,13/04/2025,INV-20250413-1353,e-wallet,"Besi Beton 12 IBD SNI,CNP Baja Ringan Prima Truss 0.75mm",198000,3,"{""Besi Beton 12 IBD SNI"":""1x93500"",""CNP Baja Ringan Prima Truss 0.75mm"":""2x873000""}"
528,09/05/2025,INV-20250509-4584,transfer,"Atap spandek 0.25 mm x 6m 1kg,Besi Wiremesh M8 full SNI",2198000,2,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000"",""Besi Wiremesh M8 full SNI"":""1x6273000""}"
529,28/04/2025,INV-20250428-6853,cash,"Besi Beton 12 IBD SNI,WF 150 x 75 mm x 12m",8730000,4,"{""Besi Beton 12 IBD SNI"":""2x93500"",""WF 150 x 75 mm x 12m"":""2x2722500""}"
530,23/04/2025,INV-20250423-8496,cash,"WF 150 x 75 mm x 12m,CNP Baja Ringan Prima Truss 0.65mm",9000,2,"{""WF 150 x 75 mm x 12m"":""1x2722500"",""CNP Baja Ringan Prima Truss 0.65mm"":""1x73000""}"
531,23/04/2025,INV-20250423-6399,cash,"WF 150 x 75 mm x 12m,Besi Beton 12 TJ SNI",198000,3,"{""WF 150 x 75 mm x 12m"":""1x2722500"",""Besi Beton 12 TJ SNI"":""2x893500""}"
532,29/04/2025,INV-20250429-4784,e-wallet,"Atap spandek 0.25 mm x 6m 1kg,Besi Wiremesh M8 full SNI",4198000,3,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000"",""Besi Wiremesh M8 full SNI"":""2x6273000""}"
533,21/04/2025,INV-20250421-1049,credit card,"CNP Baja Ringan Prima Truss 0.75mm,WF 150 x 75 mm x 12m",198000,3,"{""CNP Baja Ringan Prima Truss 0.75mm"":""1x873000"",""WF 150 x 75 mm x 12m"":""2x2722500""}"
534,14/05/2025,INV-20250514-4233,e-wallet,"WF 150 x 75 mm x 12m,Besi Beton 12 TJ SNI",198000,3,"{""WF 150 x 75 mm x 12m"":""1x2722500"",""Besi Beton 12 TJ SNI"":""2x893500""}"
535,10/04/2025,INV-20250410-3453,cash,"CNP Baja Ringan Prima Truss 0.65mm,Besi Wiremesh M8 full SNI",4198000,4,"{""CNP Baja Ringan Prima Truss 0.65mm"":""2x73000"",""Besi Wiremesh M8 full SNI"":""2x6273000""}"
536,19/04/2025,INV-20250419-1293,transfer,"WF 150 x 75 mm x 12m,Bondek 0.75 x 1000 x 6M",102722500,3,"{""WF 150 x 75 mm x 12m"":""1x2722500"",""Bondek 0.75 x 1000 x 6M"":""2x730000""}"
537,09/04/2025,INV-20250409-3285,cash,"Besi Beton 12 TJ SNI,Atap spandek 0.35 mm x 6m",9000,3,"{""Besi Beton 12 TJ SNI"":""2x893500"",""Atap spandek 0.35 mm x 6m"":""1x893500""}"
538,11/05/2025,INV-20250511-7949,e-wallet,"Atap spandek 0.25 mm x 6m 1kg,CNP Baja Ringan Prima Truss 0.75mm",12722500,3,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000"",""CNP Baja Ringan Prima Truss 0.75mm"":""2x873000""}"
539,13/05/2025,INV-20250513-8456,transfer,"Atap spandek 0.25 mm x 6m 1kg,Besi Wiremesh M8 full SNI",28730000,3,"{""Atap spandek 0.25 mm x 6m 1kg"":""2x198000"",""Besi Wiremesh M8 full SNI"":""1x6273000""}"
540,21/04/2025,INV-20250421-2126,e-wallet,"Atap spandek 0.25 mm x 6m 1kg,Besi Wiremesh M8 full SNI",4198000,3,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000"",""Besi Wiremesh M8 full SNI"":""2x6273000""}"
541,15/04/2025,INV-20250415-2251,e-wallet,"CNP Baja Ringan Prima Truss 0.75mm,Bondek 0.75 x 1000 x 6M",52722500,3,"{""CNP Baja Ringan Prima Truss 0.75mm"":""2x873000"",""Bondek 0.75 x 1000 x 6M"":""1x730000""}"
542,16/04/2025,INV-20250416-5797,cash,"Besi Beton 12 TJ SNI,Bondek 0.75 x 1000 x 6M",10893500,3,"{""Besi Beton 12 TJ SNI"":""1x893500"",""Bondek 0.75 x 1000 x 6M"":""2x730000""}"
543,20/04/2025,INV-20250420-7508,credit card,"Besi Wiremesh M8 full SNI,Besi Beton 12 TJ SNI",40893500,3,"{""Besi Wiremesh M8 full SNI"":""2x6273000"",""Besi Beton 12 TJ SNI"":""1x893500""}"
544,26/04/2025,INV-20250426-1784,e-wallet,"Atap spandek 0.25 mm x 6m 1kg,WF 150 x 75 mm x 12m",18000,3,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000"",""WF 150 x 75 mm x 12m"":""2x2722500""}"
545,25/04/2025,INV-20250425-4941,e-wallet,"Bondek 0.75 x 1000 x 6M,Atap spandek 0.35 mm x 6m",593500,3,"{""Bondek 0.75 x 1000 x 6M"":""1x730000"",""Atap spandek 0.35 mm x 6m"":""2x893500""}"
546,16/04/2025,INV-20250416-9102,cash,"WF 150 x 75 mm x 12m,CNP Baja Ringan Prima Truss 0.75mm",93500,2,"{""WF 150 x 75 mm x 12m"":""1x2722500"",""CNP Baja Ringan Prima Truss 0.75mm"":""1x873000""}"
547,01/05/2025,INV-20250501-1930,e-wallet,"CNP Baja Ringan Prima Truss 0.75mm,Bondek 0.75 x 1000 x 6M",102722500,4,"{""CNP Baja Ringan Prima Truss 0.75mm"":""2x873000"",""Bondek 0.75 x 1000 x 6M"":""2x730000""}"
548,08/04/2025,INV-20250408-2558,cash,"Atap spandek 0.25 mm x 6m 1kg,CNP Baja Ringan Prima Truss 0.65mm",273000,3,"{""Atap spandek 0.25 mm x 6m 1kg"":""2x198000"",""CNP Baja Ringan Prima Truss 0.65mm"":""1x73000""}"
549,10/05/2025,INV-20250510-1028,cash,"WF 150 x 75 mm x 12m,Atap spandek 0.35 mm x 6m",12722500,4,"{""WF 150 x 75 mm x 12m"":""2x2722500"",""Atap spandek 0.35 mm x 6m"":""2x893500""}"
550,30/04/2025,INV-20250430-4598,credit card,"Besi Beton 12 IBD SNI,Besi Beton 12 TJ SNI",18000,4,"{""Besi Beton 12 IBD SNI"":""2x93500"",""Besi Beton 12 TJ SNI"":""2x893500""}"
551,14/05/2025,INV-20250514-5796,credit card,"Besi Beton 12 IBD SNI,Bondek 0.75 x 1000 x 6M",6873000,3,"{""Besi Beton 12 IBD SNI"":""2x93500"",""Bondek 0.75 x 1000 x 6M"":""1x730000""}"
552,13/05/2025,INV-20250513-7737,e-wallet,"Atap spandek 0.25 mm x 6m 1kg,Atap spandek 0.35 mm x 6m",193500,3,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000"",""Atap spandek 0.35 mm x 6m"":""2x893500""}"
553,19/05/2025,INV-20250519-4097,transfer,"CNP Baja Ringan Prima Truss 0.65mm,WF 150 x 75 mm x 12m",9000,2,"{""CNP Baja Ringan Prima Truss 0.65mm"":""1x73000"",""WF 150 x 75 mm x 12m"":""1x2722500""}"
554,26/04/2025,INV-20250426-3440,e-wallet,"Atap spandek 0.25 mm x 6m 1kg,Atap spandek 0.35 mm x 6m",193500,3,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000"",""Atap spandek 0.35 mm x 6m"":""2x893500""}"
555,15/04/2025,INV-20250415-4073,transfer,"Bondek 0.75 x 1000 x 6M,Atap spandek 0.35 mm x 6m",593500,3,"{""Bondek 0.75 x 1000 x 6M"":""1x730000"",""Atap spandek 0.35 mm x 6m"":""2x893500""}"
556,14/05/2025,INV-20250514-8149,credit card,"Besi Beton 12 IBD SNI,CNP Baja Ringan Prima Truss 0.65mm",2873000,4,"{""Besi Beton 12 IBD SNI"":""2x93500"",""CNP Baja Ringan Prima Truss 0.65mm"":""2x73000""}"
557,02/04/2025,INV-20250402-4203,cash,"WF 150 x 75 mm x 12m,Atap spandek 0.35 mm x 6m",198000,3,"{""WF 150 x 75 mm x 12m"":""1x2722500"",""Atap spandek 0.35 mm x 6m"":""2x893500""}"
558,06/05/2025,INV-20250506-3515,e-wallet,"Besi Beton 12 IBD SNI,CNP Baja Ringan Prima Truss 0.75mm",193500,4,"{""Besi Beton 12 IBD SNI"":""2x93500"",""CNP Baja Ringan Prima Truss 0.75mm"":""2x873000""}"
559,27/04/2025,INV-20250427-4037,credit card,"CNP Baja Ringan Prima Truss 0.75mm,WF 150 x 75 mm x 12m",93500,2,"{""CNP Baja Ringan Prima Truss 0.75mm"":""1x873000"",""WF 150 x 75 mm x 12m"":""1x2722500""}"
560,10/05/2025,INV-20250510-7982,e-wallet,"WF 150 x 75 mm x 12m,Besi Wiremesh M8 full SNI",208000,3,"{""WF 150 x 75 mm x 12m"":""2x2722500"",""Besi Wiremesh M8 full SNI"":""1x6273000""}"
561,16/04/2025,INV-20250416-5333,cash,"WF 150 x 75 mm x 12m,Bondek 0.75 x 1000 x 6M",52722500,2,"{""WF 150 x 75 mm x 12m"":""1x2722500"",""Bondek 0.75 x 1000 x 6M"":""1x730000""}"
562,17/05/2025,INV-20250517-3394,credit card,"WF 150 x 75 mm x 12m,Atap spandek 0.35 mm x 6m",198000,3,"{""WF 150 x 75 mm x 12m"":""1x2722500"",""Atap spandek 0.35 mm x 6m"":""2x893500""}"
563,15/05/2025,INV-20250515-3242,credit card,"CNP Baja Ringan Prima Truss 0.75mm,Bondek 0.75 x 1000 x 6M",102722500,4,"{""CNP Baja Ringan Prima Truss 0.75mm"":""2x873000"",""Bondek 0.75 x 1000 x 6M"":""2x730000""}"
564,23/04/2025,INV-20250423-2418,transfer,"Atap spandek 0.25 mm x 6m 1kg,Bondek 0.75 x 1000 x 6M",18730000,4,"{""Atap spandek 0.25 mm x 6m 1kg"":""2x198000"",""Bondek 0.75 x 1000 x 6M"":""2x730000""}"
565,17/04/2025,INV-20250417-2583,cash,"CNP Baja Ringan Prima Truss 0.65mm,Atap spandek 0.35 mm x 6m",8000,2,"{""CNP Baja Ringan Prima Truss 0.65mm"":""1x73000"",""Atap spandek 0.35 mm x 6m"":""1x893500""}"
566,06/05/2025,INV-20250506-8873,credit card,"CNP Baja Ringan Prima Truss 0.65mm,CNP Baja Ringan Prima Truss 0.75mm",7000,2,"{""CNP Baja Ringan Prima Truss 0.65mm"":""1x73000"",""CNP Baja Ringan Prima Truss 0.75mm"":""1x873000""}"
567,22/04/2025,INV-20250422-3909,credit card,"CNP Baja Ringan Prima Truss 0.65mm,Bondek 0.75 x 1000 x 6M",935000,3,"{""CNP Baja Ringan Prima Truss 0.65mm"":""2x73000"",""Bondek 0.75 x 1000 x 6M"":""1x730000""}"
568,25/04/2025,INV-20250425-7034,cash,"Besi Beton 12 IBD SNI,WF 150 x 75 mm x 12m",198000,2,"{""Besi Beton 12 IBD SNI"":""1x93500"",""WF 150 x 75 mm x 12m"":""1x2722500""}"
569,17/05/2025,INV-20250517-6101,cash,"Atap spandek 0.25 mm x 6m 1kg,Atap spandek 0.35 mm x 6m",293500,4,"{""Atap spandek 0.25 mm x 6m 1kg"":""2x198000"",""Atap spandek 0.35 mm x 6m"":""2x893500""}"
570,30/04/2025,INV-20250430-5252,cash,"Atap spandek 0.25 mm x 6m 1kg,Bondek 0.75 x 1000 x 6M",935000,2,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000"",""Bondek 0.75 x 1000 x 6M"":""1x730000""}"
571,09/04/2025,INV-20250409-4584,e-wallet,"CNP Baja Ringan Prima Truss 0.75mm,Atap spandek 0.35 mm x 6m",8000,3,"{""CNP Baja Ringan Prima Truss 0.75mm"":""1x873000"",""Atap spandek 0.35 mm x 6m"":""2x893500""}"
572,07/04/2025,INV-20250407-7982,cash,"Besi Wiremesh M8 full SNI,Besi Beton 12 TJ SNI",2093500,3,"{""Besi Wiremesh M8 full SNI"":""1x6273000"",""Besi Beton 12 TJ SNI"":""2x893500""}"
573,21/04/2025,INV-20250421-3182,cash,"Atap spandek 0.25 mm x 6m 1kg,CNP Baja Ringan Prima Truss 0.65mm",8730000,3,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000"",""CNP Baja Ringan Prima Truss 0.65mm"":""2x73000""}"
574,03/04/2025,INV-20250403-9553,e-wallet,"WF 150 x 75 mm x 12m,CNP Baja Ringan Prima Truss 0.75mm",198000,3,"{""WF 150 x 75 mm x 12m"":""2x2722500"",""CNP Baja Ringan Prima Truss 0.75mm"":""1x873000""}"
575,02/04/2025,INV-20250402-6244,cash,"Besi Wiremesh M8 full SNI,WF 150 x 75 mm x 12m",408000,4,"{""Besi Wiremesh M8 full SNI"":""2x6273000"",""WF 150 x 75 mm x 12m"":""2x2722500""}"
576,25/04/2025,INV-20250425-2569,e-wallet,"WF 150 x 75 mm x 12m,Besi Wiremesh M8 full SNI",208000,3,"{""WF 150 x 75 mm x 12m"":""2x2722500"",""Besi Wiremesh M8 full SNI"":""1x6273000""}"
577,12/05/2025,INV-20250512-9792,credit card,"Besi Beton 12 IBD SNI,WF 150 x 75 mm x 12m",193500,3,"{""Besi Beton 12 IBD SNI"":""2x93500"",""WF 150 x 75 mm x 12m"":""1x2722500""}"
578,14/04/2025,INV-20250414-7390,cash,"WF 150 x 75 mm x 12m,CNP Baja Ringan Prima Truss 0.75mm",8000,3,"{""WF 150 x 75 mm x 12m"":""1x2722500"",""CNP Baja Ringan Prima Truss 0.75mm"":""2x873000""}"
579,16/04/2025,INV-20250416-9195,cash,"CNP Baja Ringan Prima Truss 0.75mm,Atap spandek 0.35 mm x 6m",8000,3,"{""CNP Baja Ringan Prima Truss 0.75mm"":""1x873000"",""Atap spandek 0.35 mm x 6m"":""2x893500""}"
580,14/04/2025,INV-20250414-8240,cash,"Atap spandek 0.25 mm x 6m 1kg,Bondek 0.75 x 1000 x 6M",70000,3,"{""Atap spandek 0.25 mm x 6m 1kg"":""2x198000"",""Bondek 0.75 x 1000 x 6M"":""1x730000""}"
581,14/04/2025,INV-20250414-9565,e-wallet,"WF 150 x 75 mm x 12m,Bondek 0.75 x 1000 x 6M",58000,3,"{""WF 150 x 75 mm x 12m"":""2x2722500"",""Bondek 0.75 x 1000 x 6M"":""1x730000""}"
582,01/05/2025,INV-20250501-5300,e-wallet,"Atap spandek 0.25 mm x 6m 1kg,WF 150 x 75 mm x 12m",28000,4,"{""Atap spandek 0.25 mm x 6m 1kg"":""2x198000"",""WF 150 x 75 mm x 12m"":""2x2722500""}"
583,30/04/2025,INV-20250430-9507,e-wallet,"WF 150 x 75 mm x 12m,Bondek 0.75 x 1000 x 6M",58000,3,"{""WF 150 x 75 mm x 12m"":""2x2722500"",""Bondek 0.75 x 1000 x 6M"":""1x730000""}"
584,03/05/2025,INV-20250503-1179,e-wallet,"Besi Beton 12 IBD SNI,Bondek 0.75 x 1000 x 6M",6873000,3,"{""Besi Beton 12 IBD SNI"":""2x93500"",""Bondek 0.75 x 1000 x 6M"":""1x730000""}"
585,19/05/2025,INV-20250519-1148,cash,"Bondek 0.75 x 1000 x 6M,Atap spandek 0.35 mm x 6m",5893500,2,"{""Bondek 0.75 x 1000 x 6M"":""1x730000"",""Atap spandek 0.35 mm x 6m"":""1x893500""}"
586,13/05/2025,INV-20250513-6182,transfer,"WF 150 x 75 mm x 12m,CNP Baja Ringan Prima Truss 0.65mm",1893500,3,"{""WF 150 x 75 mm x 12m"":""2x2722500"",""CNP Baja Ringan Prima Truss 0.65mm"":""1x73000""}"
587,13/04/2025,INV-20250413-7619,credit card,"Atap spandek 0.25 mm x 6m 1kg,Bondek 0.75 x 1000 x 6M",70000,3,"{""Atap spandek 0.25 mm x 6m 1kg"":""2x198000"",""Bondek 0.75 x 1000 x 6M"":""1x730000""}"
588,02/04/2025,INV-20250402-1024,cash,"WF 150 x 75 mm x 12m,Besi Beton 12 TJ SNI",12722500,4,"{""WF 150 x 75 mm x 12m"":""2x2722500"",""Besi Beton 12 TJ SNI"":""2x893500""}"
589,13/04/2025,INV-20250413-1385,cash,"Besi Wiremesh M8 full SNI,Atap spandek 0.35 mm x 6m",2093500,3,"{""Besi Wiremesh M8 full SNI"":""1x6273000"",""Atap spandek 0.35 mm x 6m"":""2x893500""}"
590,15/04/2025,INV-20250415-1695,cash,"Besi Beton 12 IBD SNI,CNP Baja Ringan Prima Truss 0.65mm",2873000,4,"{""Besi Beton 12 IBD SNI"":""2x93500"",""CNP Baja Ringan Prima Truss 0.65mm"":""2x73000""}"
591,16/04/2025,INV-20250416-3544,e-wallet,"Atap spandek 0.25 mm x 6m 1kg,Besi Beton 12 IBD SNI",193500,2,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000"",""Besi Beton 12 IBD SNI"":""1x93500""}"
592,20/04/2025,INV-20250420-9367,e-wallet,"WF 150 x 75 mm x 12m,Besi Beton 12 TJ SNI",12722500,4,"{""WF 150 x 75 mm x 12m"":""2x2722500"",""Besi Beton 12 TJ SNI"":""2x893500""}"
593,24/04/2025,INV-20250424-4980,transfer,"Atap spandek 0.25 mm x 6m 1kg,CNP Baja Ringan Prima Truss 0.75mm",22722500,4,"{""Atap spandek 0.25 mm x 6m 1kg"":""2x198000"",""CNP Baja Ringan Prima Truss 0.75mm"":""2x873000""}"
594,10/05/2025,INV-20250510-7001,e-wallet,"Besi Beton 12 IBD SNI,Besi Beton 12 TJ SNI",1873000,3,"{""Besi Beton 12 IBD SNI"":""1x93500"",""Besi Beton 12 TJ SNI"":""2x893500""}"
595,09/05/2025,INV-20250509-3294,transfer,"CNP Baja Ringan Prima Truss 0.65mm,CNP Baja Ringan Prima Truss 0.75mm",12722500,4,"{""CNP Baja Ringan Prima Truss 0.65mm"":""2x73000"",""CNP Baja Ringan Prima Truss 0.75mm"":""2x873000""}"
596,24/04/2025,INV-20250424-1616,cash,"Besi Wiremesh M8 full SNI,CNP Baja Ringan Prima Truss 0.75mm",20873000,2,"{""Besi Wiremesh M8 full SNI"":""1x6273000"",""CNP Baja Ringan Prima Truss 0.75mm"":""1x873000""}"
597,09/05/2025,INV-20250509-9318,transfer,"Besi Beton 12 IBD SNI,WF 150 x 75 mm x 12m",8730000,4,"{""Besi Beton 12 IBD SNI"":""2x93500"",""WF 150 x 75 mm x 12m"":""2x2722500""}"
598,24/04/2025,INV-20250424-8863,credit card,"Besi Beton 12 IBD SNI,CNP Baja Ringan Prima Truss 0.75mm",193500,4,"{""Besi Beton 12 IBD SNI"":""2x93500"",""CNP Baja Ringan Prima Truss 0.75mm"":""2x873000""}"
599,24/04/2025,INV-20250424-6567,transfer,"Atap spandek 0.25 mm x 6m 1kg,WF 150 x 75 mm x 12m",12722500,2,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000"",""WF 150 x 75 mm x 12m"":""1x2722500""}"
600,09/04/2025,INV-20250409-6694,credit card,"Besi Beton 12 TJ SNI,Atap spandek 0.35 mm x 6m",1873000,4,"{""Besi Beton 12 TJ SNI"":""2x893500"",""Atap spandek 0.35 mm x 6m"":""2x893500""}"
601,30/04/2025,INV-20250430-3773,transfer,"Besi Wiremesh M8 full SNI,Besi Beton 12 TJ SNI",40893500,3,"{""Besi Wiremesh M8 full SNI"":""2x6273000"",""Besi Beton 12 TJ SNI"":""1x893500""}"
602,15/04/2025,INV-20250415-5356,cash,"WF 150 x 75 mm x 12m,Besi Wiremesh M8 full SNI",402722500,3,"{""WF 150 x 75 mm x 12m"":""1x2722500"",""Besi Wiremesh M8 full SNI"":""2x6273000""}"
603,19/05/2025,INV-20250519-6308,transfer,"CNP Baja Ringan Prima Truss 0.65mm,Besi Wiremesh M8 full SNI",4073000,3,"{""CNP Baja Ringan Prima Truss 0.65mm"":""1x73000"",""Besi Wiremesh M8 full SNI"":""2x6273000""}"
604,21/04/2025,INV-20250421-9674,credit card,"WF 150 x 75 mm x 12m,Bondek 0.75 x 1000 x 6M",102722500,3,"{""WF 150 x 75 mm x 12m"":""1x2722500"",""Bondek 0.75 x 1000 x 6M"":""2x730000""}"
605,27/04/2025,INV-20250427-6255,credit card,"WF 150 x 75 mm x 12m,Atap spandek 0.35 mm x 6m",11000,3,"{""WF 150 x 75 mm x 12m"":""2x2722500"",""Atap spandek 0.35 mm x 6m"":""1x893500""}"
606,07/04/2025,INV-20250407-1349,cash,"WF 150 x 75 mm x 12m,CNP Baja Ringan Prima Truss 0.75mm",8000,3,"{""WF 150 x 75 mm x 12m"":""1x2722500"",""CNP Baja Ringan Prima Truss 0.75mm"":""2x873000""}"
607,12/04/2025,INV-20250412-1765,e-wallet,"Atap spandek 0.25 mm x 6m 1kg,Atap spandek 0.35 mm x 6m",193500,3,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000"",""Atap spandek 0.35 mm x 6m"":""2x893500""}"
608,20/04/2025,INV-20250420-1441,transfer,"Atap spandek 0.25 mm x 6m 1kg,Besi Beton 12 IBD SNI",293500,3,"{""Atap spandek 0.25 mm x 6m 1kg"":""2x198000"",""Besi Beton 12 IBD SNI"":""1x93500""}"
609,06/05/2025,INV-20250506-2437,cash,"Besi Beton 12 IBD SNI,Bondek 0.75 x 1000 x 6M",11873000,4,"{""Besi Beton 12 IBD SNI"":""2x93500"",""Bondek 0.75 x 1000 x 6M"":""2x730000""}"
610,13/04/2025,INV-20250413-6308,credit card,"WF 150 x 75 mm x 12m,Atap spandek 0.35 mm x 6m",11000,3,"{""WF 150 x 75 mm x 12m"":""2x2722500"",""Atap spandek 0.35 mm x 6m"":""1x893500""}"
611,07/04/2025,INV-20250407-7430,transfer,"WF 150 x 75 mm x 12m,Besi Wiremesh M8 full SNI",402722500,3,"{""WF 150 x 75 mm x 12m"":""1x2722500"",""Besi Wiremesh M8 full SNI"":""2x6273000""}"
612,23/04/2025,INV-20250423-6397,transfer,"Atap spandek 0.25 mm x 6m 1kg,Besi Beton 12 TJ SNI",2893500,3,"{""Atap spandek 0.25 mm x 6m 1kg"":""2x198000"",""Besi Beton 12 TJ SNI"":""1x893500""}"
613,19/05/2025,INV-20250519-3961,credit card,"Atap spandek 0.25 mm x 6m 1kg,WF 150 x 75 mm x 12m",28000,4,"{""Atap spandek 0.25 mm x 6m 1kg"":""2x198000"",""WF 150 x 75 mm x 12m"":""2x2722500""}"
614,12/04/2025,INV-20250412-9890,transfer,"Besi Beton 12 IBD SNI,CNP Baja Ringan Prima Truss 0.75mm",12722500,3,"{""Besi Beton 12 IBD SNI"":""2x93500"",""CNP Baja Ringan Prima Truss 0.75mm"":""1x873000""}"
615,21/05/2025,INV-20250521-4609,credit card,"CNP Baja Ringan Prima Truss 0.65mm,CNP Baja Ringan Prima Truss 0.75mm",7000,2,"{""CNP Baja Ringan Prima Truss 0.65mm"":""1x73000"",""CNP Baja Ringan Prima Truss 0.75mm"":""1x873000""}"
616,24/04/2025,INV-20250424-1735,e-wallet,"Atap spandek 0.25 mm x 6m 1kg,Besi Beton 12 TJ SNI",293500,4,"{""Atap spandek 0.25 mm x 6m 1kg"":""2x198000"",""Besi Beton 12 TJ SNI"":""2x893500""}"
617,26/04/2025,INV-20250426-6910,transfer,"Besi Beton 12 TJ SNI,Bondek 0.75 x 1000 x 6M",593500,3,"{""Besi Beton 12 TJ SNI"":""2x893500"",""Bondek 0.75 x 1000 x 6M"":""1x730000""}"
618,13/04/2025,INV-20250413-2562,cash,"Atap spandek 0.25 mm x 6m 1kg,CNP Baja Ringan Prima Truss 0.65mm",8935000,4,"{""Atap spandek 0.25 mm x 6m 1kg"":""2x198000"",""CNP Baja Ringan Prima Truss 0.65mm"":""2x73000""}"
619,12/04/2025,INV-20250412-1411,e-wallet,"WF 150 x 75 mm x 12m,WF 150 x 75 mm x 12m",193500,4,"{""WF 150 x 75 mm x 12m"":""2x2722500"",""WF 150 x 75 mm x 12m"":""2x2722500""}"
620,08/04/2025,INV-20250408-5450,credit card,"Atap spandek 0.25 mm x 6m 1kg,Besi Beton 12 TJ SNI",1893500,2,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000"",""Besi Beton 12 TJ SNI"":""1x893500""}"
621,04/04/2025,INV-20250404-4828,credit card,"Besi Beton 12 IBD SNI,CNP Baja Ringan Prima Truss 0.65mm",17000,3,"{""Besi Beton 12 IBD SNI"":""2x93500"",""CNP Baja Ringan Prima Truss 0.65mm"":""1x73000""}"
622,20/04/2025,INV-20250420-4330,cash,"WF 150 x 75 mm x 12m,Atap spandek 0.35 mm x 6m",7000,2,"{""WF 150 x 75 mm x 12m"":""1x2722500"",""Atap spandek 0.35 mm x 6m"":""1x893500""}"
623,03/04/2025,INV-20250403-7523,transfer,"Atap spandek 0.25 mm x 6m 1kg,Besi Beton 12 IBD SNI",2873000,3,"{""Atap spandek 0.25 mm x 6m 1kg"":""1x198000"",""Besi Beton 12 IBD SNI"":""2x93500""}"
624,03/04/2025,INV-20250403-5971,cash,"Besi Beton 12 IBD SNI,Atap spandek 0.35 mm x 6m",9000,2,"{""Besi Beton 12 IBD SNI"":""1x93500"",""Atap spandek 0.35 mm x 6m"":""1x893500""}"
625,23/04/2025,INV-20250423-9048,transfer,"CNP Baja Ringan Prima Truss 0.75mm,Atap spandek 0.35 mm x 6m",8000,3,"{""CNP Baja Ringan Prima Truss 0.75mm"":""1x873000"",""Atap spandek 0.35 mm x 6m"":""2x893500""}"
626,17/04/2025,INV-20250417-7751,cash,"Besi Beton 12 TJ SNI,Atap spandek 0.35 mm x 6m",93500,2,"{""Besi Beton 12 TJ SNI"":""1x893500"",""Atap spandek 0.35 mm x 6m"":""1x893500""}"
627,10/04/2025,INV-20250410-3542,transfer,"Atap spandek 0.25 mm x 6m 1kg,Besi Wiremesh M8 full SNI",48730000,4,"{""Atap spandek 0.25 mm x 6m 1kg"":""2x198000"",""Besi Wiremesh M8 full SNI"":""2x6273000""}"
628,07/04/2025,INV-20250407-7032,cash,"Besi Beton 12 IBD SNI,WF 150 x 75 mm x 12m",193500,3,"{""Besi Beton 12 IBD SNI"":""2x93500"",""WF 150 x 75 mm x 12m"":""1x2722500""}"
